id,Name,Short_country_name,Full_country_name,P1,P2,P3,P4,P5,P6,Points,Rank,Year,Achievement
15785,Konstantin Matveev,RUS,Russian Federation,7,7,2,7,7,7,37,1,2007,Gold medal
7867,Peter Scholze,GER,Germany,7,7,1,7,7,7,36,2,2007,Gold medal
8821,Caili Shen,CHN,People's Republic of China,7,7,7,7,7,1,36,2,2007,Gold medal
15607,Pietro Vertechi,ITA,Italy,7,7,0,7,7,7,35,4,2007,Gold medal
8976,Danylo Radchenko,UKR,Ukraine,7,7,0,7,7,7,35,4,2007,Gold medal
15784,Maria Ilyukhina,RUS,Russian Federation,7,7,5,7,7,1,34,6,2007,Gold medal
7893,Toshiki Kataoka,JPN,Japan,7,7,3,7,7,1,32,7,2007,Gold medal
8364,Whan Ghang,KOR,Republic of Korea,7,7,4,7,7,0,32,7,2007,Gold medal
15770,Livia Alexandra Ilie,ROU,Romania,7,7,4,7,7,0,32,7,2007,Gold medal
7209,Sherry Gong,USA,United States of America,7,7,3,7,7,1,32,7,2007,Gold medal
8868,Alex (Lin) Zhai,USA,United States of America,7,7,3,7,7,1,32,7,2007,Gold medal
15440,Deyan Stanislavov Simeonov,BGR,Bulgaria,7,7,2,7,7,1,31,12,2007,Gold medal
8884,Jeha Yang,KOR,Republic of Korea,7,7,2,7,7,1,31,12,2007,Gold medal
15782,Alexey Esin,RUS,Russian Federation,7,7,2,7,7,1,31,12,2007,Gold medal
8410,Panupong Pasupat,THA,Thailand,7,7,3,7,7,0,31,12,2007,Gold medal
9067,Cafer Tayyar Yıldırım,TUR,Turkey,7,7,3,7,7,0,31,12,2007,Gold medal
8500,Jack Shotton,UNK,United Kingdom,7,7,2,7,7,1,31,12,2007,Gold medal
15893,Bách Đỗ Xuân,VNM,Vietnam,7,7,3,7,7,0,31,12,2007,Gold medal
8878,Nikolay Ivanov Beluhov,BGR,Bulgaria,7,7,2,7,7,0,30,19,2007,Gold medal
15588,Seyedhesam Firouzi,IRN,Islamic Republic of Iran,7,7,2,7,6,1,30,19,2007,Gold medal
8473,Makoto Soejima,JPN,Japan,7,7,1,7,7,1,30,19,2007,Gold medal
15465,Lei Fu,CHN,People's Republic of China,7,7,2,7,7,0,30,19,2007,Gold medal
15461,Xuan Wang,CHN,People's Republic of China,7,7,1,7,7,1,30,19,2007,Gold medal
15464,Ben Yang,CHN,People's Republic of China,7,7,1,7,7,1,30,19,2007,Gold medal
8822,Przemysław Mazur,POL,Poland,7,7,1,7,7,1,30,19,2007,Gold medal
9056,Mladen Radojević,SRB,Serbia,3,6,7,7,7,0,30,19,2007,Gold medal
15896,Thái Phạm Thành,VNM,Vietnam,7,7,2,7,7,0,30,19,2007,Gold medal
8901,Artsiom Mitskevich,BLR,Belarus,7,7,0,7,7,1,29,28,2007,Gold medal
15766,An Sung Chol,PRK,Democratic People's Republic of Korea,7,7,1,7,7,0,29,28,2007,Gold medal
9031,Benjamin Scellier,FRA,France,7,7,0,7,7,1,29,28,2007,Gold medal
8954,Rati Gelashvili,GEO,Georgia,7,7,1,7,7,0,29,28,2007,Gold medal
8959,Kęstutis Česnavičius,LTU,Lithuania,7,7,0,7,7,1,29,28,2007,Gold medal
15783,Sergey Drozdov,RUS,Russian Federation,7,7,1,7,7,0,29,28,2007,Gold medal
15786,Ivan Mitrofanov,RUS,Russian Federation,7,7,1,7,7,0,29,28,2007,Gold medal
15849,Pao-Yu Chien,TWN,Taiwan,7,7,1,7,7,0,29,28,2007,Gold medal
15852,Kuan-Chieh Liao,TWN,Taiwan,6,7,1,7,7,1,29,28,2007,Gold medal
8890,Volodymyr Medvid,UKR,Ukraine,7,7,1,7,7,0,29,28,2007,Gold medal
15868,Pavlo Mishchenko,UKR,Ukraine,7,7,1,7,7,0,29,28,2007,Gold medal
15898,Tùng Phạm Duy,VNM,Vietnam,7,7,1,7,7,0,29,28,2007,Gold medal
15396,Matthew Cedric Menzies,AUS,Australia,7,7,0,7,7,0,28,40,2007,Silver medal
15763,Kang Chung Hyok,PRK,Democratic People's Republic of Korea,7,7,0,7,7,0,28,40,2007,Silver medal
15762,Kim Jin Hyok,PRK,Democratic People's Republic of Korea,7,7,0,7,7,0,28,40,2007,Silver medal
15761,An Ok Song,PRK,Democratic People's Republic of Korea,7,7,0,6,7,1,28,40,2007,Silver medal
15556,Cho Ho Lam,HKG,Hong Kong,7,7,0,7,7,0,28,40,2007,Silver medal
8760,Chiu Wai Wong,HKG,Hong Kong,7,7,0,7,7,0,28,40,2007,Silver medal
15584,Mohammad Reza Takapoui,IRN,Islamic Republic of Iran,7,7,0,7,7,0,28,40,2007,Silver medal
8595,Jørgen Vold Rennemo,NOR,Norway,7,7,0,7,7,0,28,40,2007,Silver medal
15463,Tengyu Ma,CHN,People's Republic of China,5,7,3,6,7,0,28,40,2007,Silver medal
15628,Soo Hong Lee,KOR,Republic of Korea,7,7,0,7,7,0,28,40,2007,Silver medal
15774,Lucian-Gabriel Țurea,ROU,Romania,7,7,0,7,7,0,28,40,2007,Silver medal
8857,Yi-Wei Chan,TWN,Taiwan,7,7,0,7,7,0,28,40,2007,Silver medal
8320,Brian Lawrence,USA,United States of America,6,7,0,7,7,1,28,40,2007,Silver medal
15895,Sơn Lê Ngọc,VNM,Vietnam,6,7,1,7,7,0,28,40,2007,Silver medal
15894,Chương Nguyễn Xuân,VNM,Vietnam,7,7,2,6,6,0,28,40,2007,Silver medal
15764,Sin Kum Song,PRK,Democratic People's Republic of Korea,7,7,0,6,7,0,27,55,2007,Silver medal
15561,Dániel Korándi,HUN,Hungary,7,0,6,7,7,0,27,55,2007,Silver medal
15570,Raymond Christopher,IDN,Indonesia,6,7,0,7,7,0,27,55,2007,Silver medal
15460,Han Hu,CHN,People's Republic of China,3,7,3,7,7,0,27,55,2007,Silver medal
15629,Jeong Soo Sim,KOR,Republic of Korea,7,6,0,7,7,0,27,55,2007,Silver medal
15565,Gergő Gyenizse,HUN,Hungary,7,6,4,7,2,0,26,60,2007,Silver medal
15585,Shayan Dashmiz,IRN,Islamic Republic of Iran,3,7,0,7,7,2,26,60,2007,Silver medal
15610,Norifumi Seki,JPN,Japan,7,7,0,7,5,0,26,60,2007,Silver medal
